기본 정보,,,,,,,,,,,,,,,　,　,　,　,　,　,서버,　,　,추가 IP 정보,,,추가 DISK 정보,,,,,,서버 이중화,,SW 정보,,,,보안 설정,,접근 제어,보안 에이전트,,
순번,SYSTEM명,Cloud 구분,환경,현재 상태,센터 ,Zone ,POD,CNODE,CNODE IP,기능 구분 ,기능 설명,이름(HERA or Console),기동 여부,기본 IP,"""NAT"" or ""Floating IP""",접근제어 이름,hostname,OS,CORE(Count),MEM(GB),DB ,WEB ,AP,Storage_IP,Services_IP,Virtual_IP,OS Disk Type ,OS Disk(GB),추가 Disk Type,추가 Disk(GB),외장 Disk Type ,외장 Disk(GB),이중화 구성,이중화 방식 ,OS Kernel,HA S/W,JDK,Python,SELinux 설정 확인,서버 방화벽 사용 여부,OS 접근제어,VITA,서버백신,웹쉘
203,HERA,KT사내(IPC),스테이징(STG),미사용,목동,PLAN-B,IPC-MGMT-8A1906,cnode02,10.0.1.137,DB,　,m1-hera-apigw-stg-d03,Running,10.0.1.116,-,m1-hera-apigw-stg-d03,m1-hera-apigw-stg-d03,rocky-8.10-64bit,16,32,Mariadb 11.4.4,-,-,3.1.16.145,-,10.0.1.120,SSD,32 GB,SSD,20 GB,ISCSI,"200 GB
300 GB",HA,A-S,4.18.0-553.el8_10.x86_64,pacemaker-2.1.7-5.2,-,Python 3.6.8,Disabled,firewalld,O,O,O,X
204,HERA,KT사내(IPC),스테이징(STG),미사용,목동,PLAN-B,IPC-MGMT-8A1906,cnode05,10.0.1.140,DB,　,m1-hera-apigw-stg-d04,Running,10.0.1.117,-,m1-hera-apigw-stg-d04,m1-hera-apigw-stg-d04,rocky-8.10-64bit,16,32,Mariadb 11.4.4,-,-,3.1.16.146,-,-,SSD,32 GB,SSD,20 GB,ISCSI,"200 GB
300 GB",HA,A-S,4.18.0-553.el8_10.x86_64,pacemaker-2.1.7-5.2,-,Python 3.6.8,Disabled,firewalld,O,O,O,X
205,LUPPITER(ZABBIX),KT사내(IPC),개발(DEV),사용,목동,PLAN-B,IPC-MGMT-8A1906,cnode05,10.0.1.140,WEB,　,p-mon-mk1-w03,Running,10.0.1.49,-,p-mon-mk1-w03,p-mon-mk1-w03,centos-7.9-64bit,2,4,-,Apache/2.4.34,-,-,10.217.17.21,-,HDD,107.4 GB,HDD,107.4 GB,-,-,　,　,3.10.0-1160.el7.x86_64,-,-,Python 2.7.5,Disabled,사용안함,O,X,X,X
206,GAIA,KT사내(IPC),운영(PRD),미사용,천안,PLAN-B,CA-CloudMGMT-5S0602,cnode03,10.0.8.65,AP,　,ca-cla-prd-a01(ca-hera-apigw-dev-a01),Running,10.0.8.44,-,ca-cla-prd-a01,ca-cla-prd-a01,centos-7.9-64bit,8,16,-,-,-,-,-,-,-,-,-,-,-,-,　,　,3.10.0-1160.45.1.el7.x86_64,-,-,Python 2.7.5,-,-,O,　,　,　
207,GAIA,KT사내(IPC),운영(PRD),미사용,천안,PLAN-B,CA-CloudMGMT-5S0602,cnode07,10.0.8.105,DB,　,ca-cla-prd-d01(ca-hera-apigw-dev-d01),Running,10.0.8.45,-,ca-cla-prd-d01,ca-cla-prd-d01,centos-7.9-64bit,16,32,-,-,-,-,-,-,-,-,-,-,-,-,　,　,3.10.0-1160.45.1.el7.x86_64,-,-,Python 2.7.5,-,-,O,　,　,　
208,GAIA,KT사내(IPC),운영(PRD),사용,천안,PLAN-B,CA-CloudMGMT-5S0602,cnode07,10.0.8.105,AP,　,ca-clb-prd-a01(ca-gaia-prd-ansible-p01),Running,10.0.8.42,-,ca-clb-prd-a01,ca-gaia-prd-ansible-p01,rocky-8.10-64bit,12,20,-,-,-,-,-,-,-,-,-,-,-,-,　,　,4.18.0-553.el8_10.x86_64,-,-,Python 3.12.1,-,-,O,　,　,　
209,GAIA,KT사내(IPC),운영(PRD),사용,천안,PLAN-B,CA-CloudMGMT-5S0602,cnode05,10.0.8.85,DB,　,ca-clb-prd-d01(ca-gaia-prd-ansible-p02),Running,10.0.8.43,-,ca-clb-prd-d01,ca-gaia-prd-ansible-p02,rocky-8.10-64bit,16,32,-,-,-,-,-,-,-,-,-,-,-,-,　,　,4.18.0-553.el8_10.x86_64,-,-,Python 3.12.1,-,-,O,　,　,　
210,HERA,KT사내(IPC),운영(PRD),사용,천안,PLAN-B,CA-CloudMGMT-5S0602,cnode05,10.0.8.85,AP,　,ca-hera-apigw-prd-a03,Running,10.0.8.51,-,ca-hera-apigw-prd-a03,ca-hera-apigw-prd-a03,rocky-8.10-64bit,16,16,-,-,"JAR_FILE: apigw-0.0.1-SNAPSHOT.war
Spring Boot Version: 3.3.5
JAR_FILE: hera_dbgw-0.0.1-SNAPSHOT.war
Spring Boot Version: 3.3.5",10.220.255.167,-,10.0.8.57,SSD,32 GB,SSD,300 GB,ISCSI,400 GB,HA,A-S,4.18.0-553.el8_10.x86_64,pacemaker-2.1.7-5.2,"openjdk version ""17.0.11""",Python 3.6.8,Disabled,firewalld,O,O,O,X
211,HERA,KT사내(IPC),운영(PRD),사용,천안,PLAN-B,CA-CloudMGMT-5S0602,cnode03,10.0.8.65,AP,　,ca-hera-apigw-prd-a04,Running,10.0.8.52,-,ca-hera-apigw-prd-a04,ca-hera-apigw-prd-a04,rocky-8.10-64bit,16,16,-,-,-,10.220.255.168,-,-,SSD,32 GB,SSD,300 GB,ISCSI,400 GB,HA,A-S,4.18.0-553.el8_10.x86_64,pacemaker-2.1.7-5.2,"openjdk version ""17.0.11""",Python 3.6.8,Disabled,firewalld,O,O,O,X
212,HERA,KT사내(IPC),운영(PRD),사용,천안,PLAN-B,CA-CloudMGMT-5S0602,cnode06,10.0.8.100,AP,　,ca-hera-apigw-prd-b03,Running,10.0.8.53,-,ca-hera-apigw-prd-b03,ca-hera-apigw-prd-b03,rocky-8.10-64bit,32,32,-,-,-,10.220.255.169,-,10.0.8.58,SSD,32 GB,SSD,"300 GB
20 GB",ISCSI,400 GB,HA,A-S,4.18.0-553.el8_10.x86_64,pacemaker-2.1.7-5.2,"openjdk version ""17.0.11""",Python 3.6.8,Disabled,firewalld,O,O,O,X
213,HERA,KT사내(IPC),운영(PRD),사용,천안,PLAN-B,CA-CloudMGMT-5S0602,cnode07,10.0.8.105,AP,　,ca-hera-apigw-prd-b04,Running,10.0.8.54,-,ca-hera-apigw-prd-b04,ca-hera-apigw-prd-b04,rocky-8.10-64bit,32,32,-,-,-,10.220.255.170,-,-,SSD,32 GB,SSD,"300 GB
20 GB",ISCSI,400 GB,HA,A-S,4.18.0-553.el8_10.x86_64,pacemaker-2.1.7-5.2,"openjdk version ""17.0.11""",Python 3.6.8,Disabled,firewalld,O,O,O,X
214,HERA,KT사내(IPC),운영(PRD),사용,천안,PLAN-B,CA-CloudMGMT-5S0602,cnode05,10.0.8.85,DB,　,ca-hera-apigw-prd-d03,Running,10.0.8.55,-,ca-hera-apigw-prd-d03,ca-hera-apigw-prd-d03,rocky-8.10-64bit,16,32,Mariadb 11.4.4,-,-,10.220.255.165,-,10.0.8.59,SSD,32 GB,SSD,20 GB,ISCSI,"300 GB
440 GB",HA,A-S,4.18.0-553.el8_10.x86_64,pacemaker-2.1.7-5.2,-,Python 3.6.8,Disabled,firewalld,O,O,O,X
215,HERA,KT사내(IPC),운영(PRD),사용,천안,PLAN-B,CA-CloudMGMT-5S0602,cnode03,10.0.8.65,DB,　,ca-hera-apigw-prd-d04,Running,10.0.8.56,-,ca-hera-apigw-prd-d04,ca-hera-apigw-prd-d04,rocky-8.10-64bit,16,32,Mariadb 11.4.4,-,-,10.220.255.166,-,-,SSD,32 GB,SSD,20 GB,ISCSI,"300 GB
440 GB",HA,A-S,4.18.0-553.el8_10.x86_64,pacemaker-2.1.7-5.2,-,Python 3.6.8,Disabled,firewalld,O,O,O,X
216,LUPPITER(ZABBIX),KT사내(IPC),운영(PRD),사용,천안,PLAN-B,CA-CloudMGMT-5S0602,cnode03,10.0.8.65,LB,　,ca-jpt-prd-hap-a01,Running,10.0.8.199,-,ca-jpt-prd-hap-a01,ca-jpt-prd-hap-a01,centos-7.9-64bit,8,8,-,-,HAProxy version 2.6.1,10.220.255.127,-,"10.0.8.219
10.0.8.142",SSD,21.5 GB,SSD,21.5 GB(미사용),ISCSI,1073.9 GB,HA,A-S,3.10.0-1160.45.1.el7.x86_64,pacemaker-1.1.23-1,-,Python 2.7.5,Disabled,사용안함,O,O,O,X
217,LUPPITER(ZABBIX),KT사내(IPC),운영(PRD),사용,천안,PLAN-B,CA-CloudMGMT-5S0602,cnode07,10.0.8.105,LB,　,ca-jpt-prd-hap-a02,Running,10.0.8.206,-,ca-jpt-prd-hap-a02,ca-jpt-prd-hap-a02,centos-7.9-64bit,8,8,-,-,HAProxy version 2.6.1,10.220.255.129,-,-,SSD,21.5 GB,SSD,21.5 GB(미사용),ISCSI,1073.9 GB,HA,A-S,3.10.0-1160.45.1.el7.x86_64,pacemaker-1.1.23-1,-,Python 2.7.5,Disabled,사용안함,O,O,O,X
218,LUPPITER(ZABBIX),KT사내(IPC),운영(PRD),사용,천안,PLAN-B,CA-CloudMGMT-5S0602,cnode04,10.0.8.69,AP,　,ca-jpt-prd-zab-a01,Running,10.0.8.223,-,ca-jpt-prd-zab-a01,ca-jpt-prd-zab-a01,centos-7.9-64bit,4,8,-,-,zabbix_server 5.0.25,10.220.255.135,-,10.0.8.143,SSD,21.5 GB,-,-,ISCSI,53.7 GB,HA,A-S,3.10.0-1160.45.1.el7.x86_64,pacemaker-1.1.23-1,-,Python 3.6.8,Disabled,사용안함,O,O,O,X
219,LUPPITER(ZABBIX),KT사내(IPC),운영(PRD),사용,천안,PLAN-B,CA-CloudMGMT-5S0602,cnode06,10.0.8.100,AP,　,ca-jpt-prd-zab-a02,Running,10.0.8.224,-,ca-jpt-prd-zab-a02,ca-jpt-prd-zab-a02,centos-7.9-64bit,4,8,-,-,-,10.220.255.137,-,-,SSD,21.5 GB,-,-,ISCSI,53.7 GB,HA,A-S,3.10.0-1160.45.1.el7.x86_64,pacemaker-1.1.23-1,-,Python 3.6.8,Disabled,사용안함,O,O,O,X
220,LUPPITER(ZABBIX),KT사내(IPC),운영(PRD),사용,천안,PLAN-B,CA-CloudMGMT-5S0602,cnode04,10.0.8.69,DB,　,ca-jpt-prd-zab-d01,Running,10.0.8.191,-,ca-jpt-prd-zab-d01,ca-jpt-prd-zab-d01,centos-7.9-64bit,8,16,PostgreSQL 13.5,-,-,10.220.255.111,-,10.0.8.215,SSD,21.5 GB,SSD,21.5 GB,ISCSI,182.6 GB,HA,A-S,3.10.0-1160.45.1.el7.x86_64,pacemaker-1.1.23-1,-,Python 2.7.5,Disabled,사용안함,O,O,O,X
221,LUPPITER(ZABBIX),KT사내(IPC),운영(PRD),사용,천안,PLAN-B,CA-CloudMGMT-5S0602,cnode06,10.0.8.100,DB,　,ca-jpt-prd-zab-d02,Running,10.0.8.192,-,ca-jpt-prd-zab-d02,ca-jpt-prd-zab-d02,centos-7.9-64bit,8,16,PostgreSQL 13.5,-,-,10.220.255.113,-,-,SSD,21.5 GB,SSD,21.5 GB,ISCSI,182.6 GB,HA,A-S,3.10.0-1160.45.1.el7.x86_64,pacemaker-1.1.23-1,-,Python 2.7.5,Disabled,사용안함,O,O,O,X
222,LUPPITER(ZABBIX),KT사내(IPC),운영(PRD),사용,천안,PLAN-B,CA-CloudMGMT-5S0602,cnode03,10.0.8.65,DB,　,ca-jpt-prd-zab-d03,Running,10.0.8.197,-,ca-jpt-prd-zab-d03,ca-jpt-prd-zab-d03,centos-7.9-64bit,8,16,PostgreSQL 13.5,-,-,10.220.255.123,-,10.0.8.218,SSD,21.5 GB,SSD,21.5 GB,ISCSI,182.6 GB,HA,A-S,3.10.0-1160.45.1.el7.x86_64,pacemaker-1.1.23-1,-,Python 2.7.5,Disabled,사용안함,O,O,O,X
223,LUPPITER(ZABBIX),KT사내(IPC),운영(PRD),사용,천안,PLAN-B,CA-CloudMGMT-5S0602,cnode06,10.0.8.100,DB,　,ca-jpt-prd-zab-d04,Running,10.0.8.198,-,ca-jpt-prd-zab-d04,ca-jpt-prd-zab-d04,centos-7.9-64bit,8,16,PostgreSQL 13.5,-,-,10.220.255.125,-,-,SSD,21.5 GB,SSD,21.5 GB,ISCSI,182.6 GB,HA,A-S,3.10.0-1160.45.1.el7.x86_64,pacemaker-1.1.23-1,-,Python 2.7.5,Disabled,사용안함,O,O,O,X
224,LUPPITER(ZABBIX),KT사내(IPC),운영(PRD),사용,천안,PLAN-B,CA-CloudMGMT-5S0602,cnode04,10.0.8.69,DB,　,ca-jpt-prd-zab-d05,Running,10.0.8.225,-,ca-jpt-prd-zab-d05,ca-jpt-prd-zab-d05,centos-7.9-64bit,4,8,PostgreSQL 13.5,-,-,10.220.255.139,-,-,SSD,21.5 GB,SSD,21.5 GB,ISCSI,1256.3 GB,HA,A-S,3.10.0-1160.45.1.el7.x86_64,MCCS 4.4.11.2,-,Python 2.7.5,Disabled,사용안함,O,O,O,X
225,LUPPITER(ZABBIX),KT사내(IPC),운영(PRD),사용,천안,PLAN-B,CA-CloudMGMT-5S0602,cnode06,10.0.8.100,DB,　,ca-jpt-prd-zab-d06,Running,10.0.8.226,-,ca-jpt-prd-zab-d06,ca-jpt-prd-zab-d06,centos-7.9-64bit,4,8,PostgreSQL 13.5,-,-,10.220.255.141,-,10.0.8.144,SSD,21.5 GB,SSD,21.5 GB,ISCSI,1256.3 GB,HA,A-S,3.10.0-1160.45.1.el7.x86_64,MCCS 4.4.11.2,-,Python 2.7.5,Disabled,사용안함,O,O,O,X
226,LUPPITER(ZABBIX),KT사내(IPC),운영(PRD),사용,천안,PLAN-B,CA-CloudMGMT-5S0602,cnode04,10.0.8.69,AP,　,ca-jpt-prd-zab-log01,Running,10.0.8.119,-,ca-jpt-prd-zab-log01,ca-jpt-prd-zab-log01,rocky-8.10-64bit,8,8,-,-,syslog-ng 4.8.0,10.220.255.163,-,10.0.8.78,SSD,32 GB,-,-,ISCSI,500.1 GB,HA,A-S,4.18.0-553.el8_10.x86_64 ,pacemaker-2.1.7-5.2,-,Python 3.6.8,Disabled,사용안함,O,O,O,X
227,LUPPITER(ZABBIX),KT사내(IPC),운영(PRD),사용,천안,PLAN-B,CA-CloudMGMT-5S0602,cnode07,10.0.8.105,AP,　,ca-jpt-prd-zab-log02,Running,10.0.8.120,-,ca-jpt-prd-zab-log02,ca-jpt-prd-zab-log02,rocky-8.10-64bit,8,8,-,-,-,10.220.255.164,-,-,SSD,32 GB,-,-,ISCSI,500.1 GB,HA,A-S,4.18.0-553.el8_10.x86_64,pacemaker-2.1.7-5.2,-,Python 3.6.8,Disabled,사용안함,O,O,O,X
228,LUPPITER(ZABBIX),KT사내(IPC),운영(PRD),사용,천안,PLAN-B,CA-CloudMGMT-5S0602,cnode04,10.0.8.69,AP,　,ca-jpt-prd-zab-p01,Running,10.0.8.186,-,ca-jpt-prd-zab-p01,ca-jpt-prd-zab-p01,centos-7.9-64bit,8,8,-,-,zabbix_proxy 5.0.25,10.220.255.103,-,10.0.8.213,SSD,21.5 GB,-,-,ISCSI,53.7 GB,HA,A-S,3.10.0-1160.45.1.el7.x86_64,pacemaker-1.1.23-1,-,Python 3.6.8,Disabled,사용안함,O,O,O,X
229,LUPPITER(ZABBIX),KT사내(IPC),운영(PRD),사용,천안,PLAN-B,CA-CloudMGMT-5S0602,cnode06,10.0.8.100,AP,　,ca-jpt-prd-zab-p02,Running,10.0.8.187,-,ca-jpt-prd-zab-p02,ca-jpt-prd-zab-p02,centos-7.9-64bit,8,8,-,-,-,10.220.255.105,-,-,SSD,21.5 GB,-,-,ISCSI,53.7 GB,HA,A-S,3.10.0-1160.45.1.el7.x86_64,pacemaker-1.1.23-1,-,Python 3.6.8,Disabled,사용안함,O,O,O,X
230,LUPPITER(ZABBIX),KT사내(IPC),운영(PRD),사용,천안,PLAN-B,CA-CloudMGMT-5S0602,cnode04,10.0.8.69,AP,　,ca-jpt-prd-zab-p03,Running,10.0.8.188,-,ca-jpt-prd-zab-p03,ca-jpt-prd-zab-p03,centos-7.9-64bit,8,8,-,-,zabbix_proxy 5.0.25,10.220.255.107,-,10.0.8.214,SSD,21.5 GB,-,-,ISCSI,53.7 GB,HA,A-S,3.10.0-1160.45.1.el7.x86_64,pacemaker-1.1.23-1,-,Python 3.6.8,Disabled,사용안함,O,O,O,X
231,LUPPITER(ZABBIX),KT사내(IPC),운영(PRD),사용,천안,PLAN-B,CA-CloudMGMT-5S0602,cnode06,10.0.8.100,AP,　,ca-jpt-prd-zab-p04,Running,10.0.8.189,-,ca-jpt-prd-zab-p04,ca-jpt-prd-zab-p04,centos-7.9-64bit,8,8,-,-,-,10.220.255.109,-,-,SSD,21.5 GB,-,-,ISCSI,53.7 GB,HA,A-S,3.10.0-1160.45.1.el7.x86_64,pacemaker-1.1.23-1,-,Python 3.6.8,Disabled,사용안함,O,O,O,X
232,LUPPITER(ZABBIX),KT사내(IPC),운영(PRD),사용,천안,PLAN-B,CA-CloudMGMT-5S0602,cnode04,10.0.8.69,AP,　,ca-jpt-prd-zab-p05,Running,10.0.8.193,-,ca-jpt-prd-zab-p05,ca-jpt-prd-zab-p05,centos-7.9-64bit,8,8,-,-,zabbix_proxy 5.0.25,10.220.255.115,-,10.0.8.216,SSD,21.5 GB,-,-,ISCSI,53.7 GB,HA,A-S,3.10.0-1160.45.1.el7.x86_64,pacemaker-1.1.23-1,-,Python 3.6.8,Disabled,사용안함,O,O,O,X
233,LUPPITER(ZABBIX),KT사내(IPC),운영(PRD),사용,천안,PLAN-B,CA-CloudMGMT-5S0602,cnode06,10.0.8.100,AP,　,ca-jpt-prd-zab-p06,Running,10.0.8.194,-,ca-jpt-prd-zab-p06,ca-jpt-prd-zab-p06,centos-7.9-64bit,8,8,-,-,-,10.220.255.117,-,-,SSD,21.5 GB,-,-,ISCSI,53.7 GB,HA,A-S,3.10.0-1160.45.1.el7.x86_64,pacemaker-1.1.23-1,-,Python 3.6.8,Disabled,사용안함,O,O,O,X
234,LUPPITER(ZABBIX),KT사내(IPC),운영(PRD),사용,천안,PLAN-B,CA-CloudMGMT-5S0602,cnode04,10.0.8.69,AP,　,ca-jpt-prd-zab-p07,Running,10.0.8.195,-,ca-jpt-prd-zab-p07,ca-jpt-prd-zab-p07,centos-7.9-64bit,16,16,-,-,zabbix_proxy 5.0.25,10.220.255.119,-,10.0.8.217,SSD,21.5 GB,-,-,ISCSI,53.7 GB,HA,A-S,3.10.0-1160.45.1.el7.x86_64,pacemaker-1.1.23-1,-,Python 3.6.8,Disabled,사용안함,O,O,O,X
235,LUPPITER(ZABBIX),KT사내(IPC),운영(PRD),사용,천안,PLAN-B,CA-CloudMGMT-5S0602,cnode06,10.0.8.100,AP,　,ca-jpt-prd-zab-p08,Running,10.0.8.196,-,ca-jpt-prd-zab-p08,ca-jpt-prd-zab-p08,centos-7.9-64bit,8,8,-,-,-,10.220.255.121,-,-,SSD,21.5 GB,-,-,ISCSI,53.7 GB,HA,A-S,3.10.0-1160.45.1.el7.x86_64,pacemaker-1.1.23-1,-,Python 3.6.8,Disabled,사용안함,O,O,O,X
236,LUPPITER(ZABBIX),KT사내(IPC),운영(PRD),사용,천안,PLAN-B,CA-CloudMGMT-5S0602,cnode04,10.0.8.69,AP,　,ca-jpt-prd-zab-p09,Running,10.0.8.115,-,ca-jpt-prd-zab-p09,ca-jpt-prd-zab-p09,rocky-8.10-64bit,16,16,-,-,zabbix_proxy 7.0.3,10.220.255.159,-,10.0.8.76,SSD,32 GB,-,-,ISCSI,50 GB,HA,A-S,4.18.0-553.el8_10.x86_64,pacemaker-2.1.7-5.2,-,Python 3.6.8,Disabled,사용안함,O,O,O,X
237,LUPPITER(ZABBIX),KT사내(IPC),운영(PRD),사용,천안,PLAN-B,CA-CloudMGMT-5S0602,cnode07,10.0.8.105,AP,　,ca-jpt-prd-zab-p10,Running,10.0.8.116,-,ca-jpt-prd-zab-p10,ca-jpt-prd-zab-p10,rocky-8.10-64bit,16,16,-,-,-,10.220.255.160,-,-,SSD,32 GB,-,-,ISCSI,50 GB,HA,A-S,4.18.0-553.el8_10.x86_64,pacemaker-2.1.7-5.2,-,Python 3.6.8,Disabled,사용안함,O,O,O,X
238,LUPPITER(ZABBIX),KT사내(IPC),운영(PRD),사용,천안,PLAN-B,CA-CloudMGMT-5S0602,cnode05,10.0.8.85,DB,　,ca-jpt-prd-zab-pd07,Running,10.0.8.117,-,ca-jpt-prd-zab-pd07,ca-jpt-prd-zab-pd07,rocky-8.10-64bit,8,16,PostgreSQL 15.8,-,-,10.220.255.161,-,10.0.8.77,SSD,32 GB,SSD,20 GB,ISCSI,"170 GB
150 GB",HA,A-S,4.18.0-553.el8_10.x86_64,pacemaker-2.1.7-5.2,-,Python 3.6.8,Disabled,사용안함,O,O,O,X
239,LUPPITER(ZABBIX),KT사내(IPC),운영(PRD),사용,천안,PLAN-B,CA-CloudMGMT-5S0602,cnode04,10.0.8.69,DB,　,ca-jpt-prd-zab-pd08,Running,10.0.8.118,-,ca-jpt-prd-zab-pd08,ca-jpt-prd-zab-pd08,rocky-8.10-64bit,8,16,PostgreSQL 15.8,-,-,10.220.255.162,-,-,SSD,32 GB,SSD,20 GB,ISCSI,"170 GB
150 GB",HA,A-S,4.18.0-553.el8_10.x86_64,pacemaker-2.1.7-5.2,-,Python 3.6.8,Disabled,사용안함,O,O,O,X
240,LUPPITER(ZABBIX),KT사내(IPC),운영(PRD),사용,천안,PLAN-B,CA-CloudMGMT-5S0602,cnode04,10.0.8.69,WEB,　,ca-jpt-prd-zab-w01,Running,10.0.8.221,-,ca-jpt-prd-zab-w01,ca-jpt-prd-zab-w01,centos-7.9-64bit,4,8,-,Apache/2.4.63,-,-,-,-,SSD,21.5 GB,SSD,75.2 GB,-,-,LB,A-A,3.10.0-1160.45.1.el7.x86_64,-,-,Python 2.7.5,Disabled,사용안함,O,O,O,O
241,LUPPITER(ZABBIX),KT사내(IPC),운영(PRD),사용,천안,PLAN-B,CA-CloudMGMT-5S0602,cnode06,10.0.8.100,WEB,　,ca-jpt-prd-zab-w02,Running,10.0.8.222,-,ca-jpt-prd-zab-w02,ca-jpt-prd-zab-w02,centos-7.9-64bit,4,8,-,Apache/2.4.63,-,-,-,-,SSD,21.5 GB,SSD,75.2 GB,-,-,LB,A-A,3.10.0-1160.45.1.el7.x86_64,-,-,Python 2.7.5,Disabled,사용안함,O,O,O,O
242,LUPPITER(ZABBIX),KT사내(IPC),스테이징(STG),사용,천안,PLAN-B,CA-CloudMGMT-5S0602,cnode05,10.0.8.85,AP,　,ca-jpt-stg-zab-a01,Running,10.0.8.208,-,ca-jpt-stg-zab-a01,ca-jpt-stg-zab-a01,rocky-8.10-64bit,8,8,-,-,zabbix_server 7.0.3,-,-,-,SSD,32 GB,SSD,50 GB,-,-,　,　,4.18.0-553.el8_10.x86_64,-,-,Python 3.12.1,Disabled,사용안함,O,X,X,X
243,LUPPITER(ZABBIX),KT사내(IPC),스테이징(STG),사용,천안,PLAN-B,CA-CloudMGMT-5S0602,cnode07,10.0.8.105,DB,　,ca-jpt-stg-zab-d01,Running,10.0.8.47,-,ca-jpt-stg-zab-d01,ca-jpt-stg-zab-d01,rocky-8.10-64bit,16,32,PostgreSQL 15.8,-,-,-,-,-,SSD,32 GB,SSD,"10 GB
200 GB",-,-,　,　,4.18.0-553.el8_10.x86_64,-,-,Python 3.12.1,Disabled,사용안함,O,X,X,X
244,LUPPITER(ZABBIX),KT사내(IPC),스테이징(STG),사용,천안,PLAN-B,CA-CloudMGMT-5S0602,cnode02,10.0.8.33,AP,　,ca-jpt-stg-zab-p01,Running,10.0.8.46,-,ca-jpt-stg-zab-p01,ca-jpt-stg-zab-p01,rocky-8.10-64bit,8,16,-,-,zabbix_proxy 7.0.3,-,-,-,SSD,32 GB,SSD,50 GB,-,-,-,-,4.18.0-553.el8_10.x86_64,-,-,Python 3.6.8,Disabled,사용안함,O,X,X,X
245,LUPPITER(ZABBIX),KT사내(IPC),스테이징(STG),사용,천안,PLAN-B,CA-CloudMGMT-5S0602,cnode01,10.0.8.32,WEB,　,ca-jpt-stg-zab-w01,Running,10.0.8.207,-,ca-jpt-stg-zab-w01,ca-jpt-stg-zab-w01,rocky-8.10-64bit,8,8,-,Apache/2.4.63,-,-,-,-,SSD,32 GB,SSD,50 GB,-,-,　,　,4.18.0-553.el8_10.x86_64,-,-,Python 3.12.1,Disabled,사용안함,O,X,X,X
246,LUPPITER(ZABBIX),KT사내(IPC),스테이징(STG),사용,천안,PLAN-B,CA-KTIS-XEN,cnode12,10.4.224.46,DB,　,p-mon-db-01,Running,10.4.224.95,-,p-mon-db-01,p-mon-db-01,centos-7.9-64bit,16,32,PostgreSQL 13.5,-,-,10.217.192.22,-,10.4.224.97,SSD,34.4 GB,SSD,"107.4 GB
322.1 GB",-,-,　,　,3.10.0-1160.el7.x86_64,-,-,Python 2.7.5,Permissive,사용안함,O,O,O,X
247,LUPPITER(ZABBIX),KT사내(IPC),스테이징(STG),사용,천안,PLAN-B,CA-KTIS-XEN,cnode11,10.4.224.45,DB,　,p-mon-db-02,Running,10.4.224.96,-,p-mon-db-02,p-mon-db-02,centos-7.9-64bit,16,32,-,-,-,-,-,-,SSD,34.4 GB,SSD,"107.4 GB
322.1 GB",-,-,　,　,3.10.0-1160.el7.x86_64,-,-,Python 2.7.5,Disabled,사용안함,O,O,O,X
248,GIT,KT사내(IPC),운영(PRD),사용,천안,PLAN-B,CA-KTIS-XEN,cnode15,10.4.224.76,AP/DB,　,p-mon-git-01,Running,10.4.224.36,-,p-mon-git-01,p-mon-git-01,centos-7.9-64bit,8,16,"(gitlab) redis 7.0.14
(gitlab) PostgreSQL 13.12",(gitlab) nginx/1.24.0,gitlab 16.7.2,-,10.217.192.26,-,SSD,34.4 GB,SSD,"107.4 GB
107.4 GB",-,-,　,　,3.10.0-1160.el7.x86_64,-,-,Python 2.7.5,Disabled,사용안함,O,O,O,X
249,LUPPITER(Prometheus),KT사내(IPC),스테이징(STG),미사용,천안,PLAN-B,10,cnode12,10.4.224.46,AP,　,p-mon-grafana-01,Halt,10.4.224.29,-,p-mon-grafana-01,p-mon-grafana-01,centos-7.9-64bit,4,8,-,-,grafana-8.5.5,-,10.217.192.24,-,SSD,34.4 GB,SSD,107.4 GB,-,-,　,　,3.10.0-1160.el7.x86_64,-,-,Python 2.7.5,Disabled,사용안함,O,O,O,X
250,LUPPITER(Prometheus),KT사내(IPC),스테이징(STG),미사용,천안,PLAN-B,CA-KTIS-XEN,cnode15,10.4.224.76,AP,　,p-mon-prometheus-01,Halt,10.4.224.35,-,p-mon-prometheus-01,p-mon-prometheus-01,centos-7.9-64bit,8,8,-,-,prometheus version 2.39.1,-,-,-,SSD,34.4 GB,SSD,322.1 GB,-,-,　,　,3.10.0-1160.el7.x86_64,-,-,Python 2.7.5,Disabled,사용안함,O,O,X,X
251,LUPPITER,KT사내(IPC),스테이징(STG),사용,천안,PLAN-B,CA-KTIS-XEN,cnode13,10.4.224.47,AP,　,p-mon-was-01,Running,10.4.224.93,-,p-mon-was-01,p-mon-was-01,centos-7.9-64bit,8,16,-,-,"JAR_FILE: luppiter_web-2.0.0.war
Spring Boot Version: 2.7.9",-,10.217.192.20,-,SSD,34.4 GB,SSD,107.4 GB,-,-,　,　,3.10.0-1160.el7.x86_64,-,"openjdk version ""17""",Python 2.7.5,Permissive,사용안함,O,O,O,X
